"ID";"Bezeichner";"Footprint";"Stückzahl";"Bezeichnung";"Anbieter und Referenz";
1;"A1";"Arduino_Nano";1;"Arduino_Nano_ESP32";;;
2;"C3";"C_Disc_D5.0mm_W2.5mm_P5.00mm";1;"1n";;;
3;"C12";"CP_Radial_D5.0mm_P2.00mm";1;"1u";;;
4;"C13, C16";"CP_Radial_D5.0mm_P2.00mm";2;"10u";;;
5;"C14, C15, C17";"C_Disc_D5.0mm_W2.5mm_P5.00mm";3;"100n";;;
6;"D1, D2, D3";"D_DO-35_SOD27_P7.62mm_Horizontal";3;"BAT46";;;
7;"IC1";"SOP50P490X110-10N";1;"ADS1118QDGSRQ1";;;
8;"J1";"TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm";1;"HVDC_POS";;;
9;"J2";"TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm";1;"HVDC_NEG";;;
10;"J6";"TerminalBlock_MaiXu_MX126-5.0-03P_1x03_P5.00mm";1;"lock_motor";;;
11;"J7";"TerminalBlock_MaiXu_MX126-5.0-04P_1x04_P5.00mm";1;"inputs";;;
12;"J8";"TerminalBlock_MaiXu_MX126-5.0-03P_1x03_P5.00mm";1;"relay board";;;
13;"J9";"TerminalBlock_MaiXu_MX126-5.0-04P_1x04_P5.00mm";1;"PLC_modem";;;
14;"Q1";"TO-92_Inline";1;"2N7000";;;
15;"R2";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";1;"2k7";;;
16;"R3";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";1;"1k2";;;
17;"R4, R12, R14";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";3;"100k";;;
18;"R5";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";1;"180";;;
19;"R6, R7, R10, R11";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";4;"1M5";;;
20;"R8, R9";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";2;"4k7";;;
21;"R13";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";1;"330";;;
22;"R16";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";1;"10k";;;
23;"U6";"SOIC-20W_7.5x12.8mm_P1.27mm";1;"ISOW7741";;;
